stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,breakimage.started,breakimage.stopped,continutebreak.keys,continutebreak.rt,continutebreak.started,continutebreak.stopped,participant,session,date,expName,psychopyVersion,frameRate,
man praying to soccer ball in tv.jpg,n,images/man praying to soccer ball in tv.jpg,Implausible,2,,,,,,,,,0,2,2,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.30808970000362,None,n,1,1.7709385999987717,56.30808970000362,None,56.30808970000362,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man_playing guitar.jpg,c,images/man_playing guitar.jpg,Plausible,1,,,,,,,,,0,3,3,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.12456380000367,None,c,1,2.434771499996714,58.12456380000367,None,58.12456380000367,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
girl_hugging dog.jpg,c,images/girl_hugging dog.jpg,Plausible,1,,,,,,,,,0,4,4,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.642258600004425,None,c,1,1.1565017999964766,60.642258600004425,None,60.642258600004425,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man_playing violin.jpg,c,images/man_playing violin.jpg,Plausible,1,,,,,,,,,0,5,5,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.89231320000545,None,c,1,0.7226057000007131,61.89231320000545,None,61.89231320000545,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man_golfing mtn.jpg,c,images/man_golfing mtn.jpg,Plausible,1,,,,,,,,,0,6,6,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.69209740000224,None,c,1,0.904818900002283,62.69209740000224,None,62.69209740000224,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
sawing loaf of bread.jpg,n,images/sawing loaf of bread.jpg,Implausible,1,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.65737739999895,None,n,1,0.9720177999988664,63.65737739999895,None,63.65737739999895,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
kid_fishing.jpg,c,images/kid_fishing.jpg,Plausible,1,,,,,,,,,0,8,8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.70685239999875,None,c,1,1.2895365000003949,64.70685239999875,None,64.70685239999875,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
woman_kicking garment bag.jpg,n,images/woman_kicking garment bag.jpg,Implausible,1,,,,,,,,,0,9,9,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0583420000039,None,n,1,1.2027793999950518,66.0583420000039,None,66.0583420000039,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
stethoscope to egg.jpg,n,images/stethoscope to egg.jpg,Implausible,1,,,,,,,,,0,10,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.32586580000498,None,n,1,1.5111295999959111,67.32586580000498,None,67.32586580000498,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
woman_runner.jpg,c,images/woman_runner.jpg,Plausible,2,,,,,,,,,0,11,11,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.89164130000427,None,c,1,0.9197023000015179,68.89164130000427,None,68.89164130000427,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
