1.0662 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
43.9875 	EXP 	New trial (rep=0, index=2): OrderedDict([('file', 'images/man catching grenade.jpg'), ('stimulus', 'man catching grenade.jpg'), ('condition', 'Implausible'), ('block', 2), ('corrAns', 'n')])
44.0592 	EXP 	trial_instructions: autoDraw = False
44.0592 	EXP 	image: autoDraw = False
44.0592 	EXP 	image: size = array([0.62555556, 0.46888889])
44.0592 	EXP 	image: image = 'images/man catching grenade.jpg'
44.0592 	EXP 	trial_instructions: autoDraw = True
44.0592 	EXP 	image: autoDraw = True
44.3856 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
44.3859 	EXP 	New trial (rep=0, index=3): OrderedDict([('file', 'images/woman_bikini grocery store.jpg'), ('stimulus', 'woman_bikini grocery store.jpg'), ('condition', 'Implausible'), ('block', 1), ('corrAns', 'n')])
44.3948 	DATA 	Keypress: n
44.4138 	EXP 	trial_instructions: autoDraw = False
44.4138 	EXP 	image: autoDraw = False
44.4138 	EXP 	image: size = array([0.62555556, 0.46888889])
44.4138 	EXP 	image: image = 'images/woman_bikini grocery store.jpg'
44.4138 	EXP 	trial_instructions: autoDraw = True
44.4138 	EXP 	image: autoDraw = True
44.5597 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
44.5601 	EXP 	New trial (rep=0, index=4): OrderedDict([('file', 'images/business man pole vaulting.jpg'), ('stimulus', 'business man pole vaulting.jpg'), ('condition', 'Implausible'), ('block', 2), ('corrAns', 'n')])
44.5740 	DATA 	Keypress: c
44.5982 	EXP 	trial_instructions: autoDraw = False
44.5982 	EXP 	image: autoDraw = False
44.5982 	EXP 	image: size = array([0.62555556, 0.46888889])
44.5982 	EXP 	image: image = 'images/business man pole vaulting.jpg'
44.5982 	EXP 	trial_instructions: autoDraw = True
44.5982 	EXP 	image: autoDraw = True
44.9355 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
44.9358 	EXP 	New trial (rep=0, index=5): OrderedDict([('file', 'images/band in the street.jpg'), ('stimulus', 'band in the street.jpg'), ('condition', 'Plausible'), ('block', 1), ('corrAns', 'c')])
44.9505 	DATA 	Keypress: n
44.9662 	EXP 	trial_instructions: autoDraw = False
44.9662 	EXP 	image: autoDraw = False
44.9662 	EXP 	image: size = array([0.62555556, 0.46888889])
44.9662 	EXP 	image: image = 'images/band in the street.jpg'
44.9662 	EXP 	trial_instructions: autoDraw = True
44.9662 	EXP 	image: autoDraw = True
45.1020 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
45.1026 	EXP 	New trial (rep=0, index=6): OrderedDict([('file', 'images/man praying to soccer ball in tv.jpg'), ('stimulus', 'man praying to soccer ball in tv.jpg'), ('condition', 'Implausible'), ('block', 2), ('corrAns', 'n')])
45.1193 	DATA 	Keypress: c
45.1276 	EXP 	trial_instructions: autoDraw = False
45.1276 	EXP 	image: autoDraw = False
45.1276 	EXP 	image: size = array([0.62555556, 0.46888889])
45.1276 	EXP 	image: image = 'images/man praying to soccer ball in tv.jpg'
45.1276 	EXP 	trial_instructions: autoDraw = True
45.1276 	EXP 	image: autoDraw = True
45.2329 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
45.2337 	EXP 	New trial (rep=0, index=7): OrderedDict([('file', 'images/cabbage headphones.jpg'), ('stimulus', 'cabbage headphones.jpg'), ('condition', 'Implausible'), ('block', 2), ('corrAns', 'n')])
45.2744 	DATA 	Keypress: n
45.2962 	EXP 	trial_instructions: autoDraw = False
45.2962 	EXP 	image: autoDraw = False
45.2962 	EXP 	image: size = array([0.62555556, 0.46888889])
45.2962 	EXP 	image: image = 'images/cabbage headphones.jpg'
45.2962 	EXP 	trial_instructions: autoDraw = True
45.2962 	EXP 	image: autoDraw = True
45.3709 	DATA 	Keypress: c
45.4001 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
45.4010 	EXP 	New trial (rep=0, index=8): OrderedDict([('file', 'images/business man with inline skates.jpg'), ('stimulus', 'business man with inline skates.jpg'), ('condition', 'Implausible'), ('block', 2), ('corrAns', 'n')])
45.4638 	EXP 	trial_instructions: autoDraw = False
45.4638 	EXP 	image: autoDraw = False
45.4638 	EXP 	image: size = array([0.62555556, 0.46888889])
45.4638 	EXP 	image: image = 'images/business man with inline skates.jpg'
45.4638 	EXP 	trial_instructions: autoDraw = True
45.4638 	EXP 	image: autoDraw = True
45.4727 	DATA 	Keypress: n
45.6187 	DATA 	Keypress: c
45.6358 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
45.6366 	EXP 	New trial (rep=0, index=9): OrderedDict([('file', 'images/men standing on doors.jpg'), ('stimulus', 'men standing on doors.jpg'), ('condition', 'Implausible'), ('block', 1), ('corrAns', 'n')])
45.6942 	DATA 	Keypress: n
45.7106 	EXP 	trial_instructions: autoDraw = False
45.7106 	EXP 	image: autoDraw = False
45.7106 	EXP 	image: size = array([0.62555556, 0.46888889])
45.7106 	EXP 	image: image = 'images/men standing on doors.jpg'
45.7106 	EXP 	trial_instructions: autoDraw = True
45.7106 	EXP 	image: autoDraw = True
45.8859 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
45.8868 	EXP 	New trial (rep=0, index=10): OrderedDict([('file', 'images/man_golfing mtn.jpg'), ('stimulus', 'man_golfing mtn.jpg'), ('condition', 'Plausible'), ('block', 1), ('corrAns', 'c')])
45.9146 	DATA 	Keypress: n
45.9153 	DATA 	Keypress: c
45.9266 	EXP 	trial_instructions: autoDraw = False
45.9266 	EXP 	image: autoDraw = False
45.9266 	EXP 	image: size = array([0.62555556, 0.46888889])
45.9266 	EXP 	image: image = 'images/man_golfing mtn.jpg'
45.9266 	EXP 	trial_instructions: autoDraw = True
45.9266 	EXP 	image: autoDraw = True
46.1861 	EXP 	Created sequence: random, trialTypes=1, nReps=0, seed=None
46.1870 	EXP 	New trial (rep=0, index=11): OrderedDict([('file', 'images/woman_smelling flower.jpg'), ('stimulus', 'woman_smelling flower.jpg'), ('condition', 'Plausible'), ('block', 2), ('corrAns', 'c')])
46.2321 	DATA 	Keypress: n
46.2441 	EXP 	trial_instructions: autoDraw = False
46.2441 	EXP 	image: autoDraw = False
46.2441 	EXP 	image: size = array([0.62555556, 0.46888889])
46.2441 	EXP 	image: image = 'images/woman_smelling flower.jpg'
46.2441 	EXP 	trial_instructions: autoDraw = True
46.2441 	EXP 	image: autoDraw = True
46.3518 	DATA 	Keypress: escape
46.6095 	EXP 	window1: mouseVisible = True
46.6097 	DEBUG 	Saving data for EventTask ExperimentHandler
46.6147 	INFO 	saved data to C:\Users\cukel\OneDrive\Documents\GitHub\Event-Task\data/_EventTask_2021_Jun_16_1038.psydat
46.6234 	INFO 	saved data to 'C:\\Users\\cukel\\OneDrive\\Documents\\GitHub\\Event-Task\\data/_EventTask_2021_Jun_16_1038.csv'
